seq,name/first,name/last,age,street,city,state,zip,dollar,pick,date
65,Katharine,Alexander,20,Usro Avenue,Dalezup,AR,10716,$1081.55,BLUE,12/28/2009
66,Lee,Turner,61,Amutad Drive,Lilefkil,DE,32009,$7503.61,RED,04/10/2037
67,Belle,Gross,21,Jokhim Circle,Wobebo,DC,09965,$2662.67,YELLOW,08/04/2059
68,Eula,Reese,61,Jumdo Drive,Dosiwazuf,NV,14940,$6455.50,RED,02/15/1921
69,Francisco,Richards,44,Icofij Trail,Icazmor,AL,39677,$1654.10,BLUE,02/07/1972
70,Cody,Gray,53,Kanta View,Ominual,IN,58166,$6792.55,YELLOW,01/31/2016
71,Winifred,Richards,29,Tolo View,Lehtesag,SC,61665,$2745.90,BLUE,03/02/2058
72,Todd,Parks,57,Laoza Highway,Seuwfi,UT,00316,$7237.08,WHITE,03/22/2005
73,Brent,Huff,37,Jusde Drive,Vehgawaku,IA,44028,$6081.55,RED,08/08/2015
74,Sarah,Cox,33,Baluca Mill,Asojicsuw,CO,60789,$3337.38,RED,11/12/2033
75,Melvin,Andrews,64,Angat Junction,Dovvivak,WY,85662,$3382.63,WHITE,11/01/2028
76,Adrian,Richards,54,Umuf Square,Gikapwi,SC,02109,$9382.12,BLUE,11/14/1920
77,Brent,Dawson,55,Kemo Lane,Nunniub,IA,98696,$3866.21,WHITE,07/12/1970
78,William,Atkins,38,Moka Boulevard,Anizoas,KY,79043,$6001.71,BLUE,07/22/2045
79,Gordon,Peters,42,Ajpi Mill,Vadupku,HI,29482,$3103.92,GREEN,06/23/1930
80,Jared,Woods,64,Puede Pike,Naigopit,AK,59689,$9542.75,RED,07/23/2000
81,Keith,Wright,32,Dije Ridge,Gasbamrad,TN,73210,$708.92,WHITE,07/14/2060
82,Harriet,Price,54,Onoar Street,Bumvooh,TX,51275,$2237.23,RED,06/14/1966
83,Robert,Flores,32,Dive Mill,Solibelu,MD,69129,$5997.91,BLUE,06/26/1937
84,Florence,Brown,47,Unodun Path,Agacsa,MS,36044,$114.36,YELLOW,06/16/1964
85,Mina,Roberts,19,Cidto Circle,Tacluja,ID,55242,$7255.00,WHITE,11/19/1946
86,Paul,Ortega,31,Cevo Extension,Offinen,WA,29842,$7786.82,WHITE,02/01/2007
87,Louis,Klein,37,Gutor Junction,Rehvajul,DE,32264,$4993.56,WHITE,11/24/1908
88,Susan,Vaughn,63,Asewur Grove,Mijgivse,FL,66490,$1438.30,GREEN,03/04/2034
89,Hallie,Carter,47,Iteev Circle,Vonjoncor,ND,45828,$6050.99,RED,08/23/1966
90,Lizzie,Shelton,35,Pujfo Place,Zodfajnic,NE,35327,$2573.96,RED,02/02/1930
91,Pearl,Castillo,44,Tefzez Boulevard,Toigin,TX,48456,$8194.52,RED,01/16/1983
92,Ryan,Gonzalez,60,Ruwme Pass,Domoca,UT,51391,$551.53,GREEN,08/09/2044
93,Erik,Pope,65,Gice Avenue,Altiol,VT,65701,$5752.38,RED,01/11/2012
94,Angel,Smith,32,Kuflo Glen,Zajefeg,TN,19700,$8223.85,WHITE,02/01/1971
95,Hilda,Dawson,19,Dowon Parkway,Upcojij,IA,68730,$9223.88,BLUE,01/10/1964
96,Hulda,Reeves,40,Bebto Circle,Tosohde,OH,98857,$6085.78,WHITE,12/27/2024
97,Logan,Ross,44,Tevo Pass,Ukcuofu,AL,80905,$3607.45,RED,03/28/2007
98,Sally,Reed,60,Vicah Circle,Nizedud,WI,11277,$4766.08,BLUE,07/16/1924
99,Myrtle,Patterson,29,Umuz View,Bihfuneb,TX,51107,$2566.12,RED,01/05/1999
100,Iva,Fleming,49,Wosmab Center,Wirimhoc,SD,83634,$3197.95,RED,04/25/1944
